producto,precio,tienda,sucursal,fecha_consulta
tortilla amarilla (a granel),MX$12.90/kg,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
tortillas blancas (a granel),MX$12.90/kg,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$43.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$27.55,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$29.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$29.35,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$62.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
tortilla taquera amarilla (unidad: 1 kg aprox),MX$26.50/kg,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$59.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$35.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$17.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$20.45,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$43.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$27.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$40.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$35.60,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$75.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$43.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$19.10,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
sopes 6 pzas,MX$22.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$43.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$17.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$31.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$25.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$30.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$35.60,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
totopo natural selecto brand 500 gr,MX$32.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$25.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$27.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$32.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$24.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$42.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
tortilla maiz mission amarillas 550 gr,MX$27.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$33.50,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
,MX$42.00,Chedraui 🛒,chedraui chedraui mundo e,2023-12-04 13:03:07.220302
