name,url,sucursal,cp,d_codigo,d_asenta,d_tipo_asenta,D_mnpio,c_mnpio,d_zona
Chedraui 🛒,https://www.ubereats.com/store/chedraui-chedraui-mundo-e/8XwtMbZAVkC4kg-JAYwHUw,chedraui chedraui mundo e,02420 cdmx,02420 cdmx,Ex-Hacienda El Rosario,Colonia,Azcapotzalco,2,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-lomas-verdes/sgFsGQQDXCq_sj60Ot6JpA,soriana hiper lomas verdes,02440 cdmx,02440 cdmx,Providencia,Colonia,Azcapotzalco,2,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-san-mateo/WzHgZ4J-UEyRd1BA7EdvWg,soriana hiper san mateo,02750 cdmx,02750 cdmx,Santiago Ahuizotla,Pueblo,Azcapotzalco,2,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-mixcoac-revolucion/mvQBPhpTV2yZ1LaB8Xip-Q,soriana hiper mixcoac revolucion,03940 cdmx,03940 cdmx,Crédito Constructor,Colonia,Benito Juárez,14,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-plaza-cantil/H63zGDRnXI6hH5fpKryh5A,soriana hiper plaza cantil,04630 cdmx,04630 cdmx,Adolfo Ruiz Cortínes,Colonia,Coyoacán,3,Urbano
Selecto Súper Chedraui 🛒,https://www.ubereats.com/store/selecto-super-chedraui-samara-santa-fe/gdYCQMrvWdOLhcVY4twXHQ,selecto super chedraui samara santa fe,05119 cdmx,05119 cdmx,Campestre Palo Alto,Colonia,Cuajimalpa de Morelos,4,Urbano
Chedraui 🛒,https://www.ubereats.com/store/chedraui-selecto-super-tecamachalco/aeouOz4vVuCzokhiJ1ELsg,chedraui selecto super tecamachalco,05129 cdmx,05129 cdmx,Lomas del Chamizal,Colonia,Cuajimalpa de Morelos,4,Urbano
Chedraui 🛒,https://www.ubereats.com/store/chedraui-selecto-super-chedraui-interlomas-hill/GBjX46eUWH2VLyPQzbWHQQ,chedraui selecto super chedraui interlomas hill,05230 cdmx,05230 cdmx,El Ébano,Colonia,Cuajimalpa de Morelos,4,Urbano
La Comer 🛒,https://www.ubereats.com/store/la-comer-la-comer-lomas-anahuac/Uvqw3CVJUCWPEbpRuqmJ5Q,la comer la comer lomas anahuac,05780 cdmx,05780 cdmx,Agua Bendita,Colonia,Cuajimalpa de Morelos,4,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-perinorte/tGTD0ER_VMSMHSau0Ix7pQ,soriana hiper perinorte,07149 cdmx,07149 cdmx,Parque Metropolitano,Colonia,Gustavo A. Madero,5,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-arboledas/WQ7fmo2oVxiC-uoHMe30GQ,soriana hiper arboledas,07640 cdmx,07640 cdmx,Santiago Atepetlac,Colonia,Gustavo A. Madero,5,Urbano
La Comer 🛒,https://www.ubereats.com/store/la-comer-la-comer-el-dorado/pJJv6dvTVzqHIj07kpakow,la comer la comer el dorado,07680 cdmx,07680 cdmx,Ampliación Guadalupe Proletaria,Colonia,Gustavo A. Madero,5,Urbano
Chedraui 🛒,https://www.ubereats.com/store/chedraui-tenayuca/tJctayMoWM-PfmgJfYy4nw,chedraui tenayuca,07708 cdmx,07708 cdmx,Torres Lindavista,Colonia,Gustavo A. Madero,5,Urbano
Sumesa 🛒,https://www.ubereats.com/store/sumesa-arboledas/ER3YeZ0qULmTnVRyzpFE2Q,sumesa arboledas,07708 cdmx,07708 cdmx,Torres Lindavista,Colonia,Gustavo A. Madero,5,Urbano
Chedraui 🛒,https://www.ubereats.com/store/chedraui-selecto-fortuna/Tej2Odm9VZayaPaatoimFA,chedraui selecto fortuna,07870 cdmx,07870 cdmx,Guadalupe Insurgentes,Colonia,Gustavo A. Madero,5,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-parque-delta/m8xvqtiuU6Ki9rJ56qAhYQ,soriana hiper parque delta,08510 cdmx,08510 cdmx,El Rodeo,Colonia,Iztacalco,6,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-pilares/2dUQ_DHRW9OCHOUPjRjXwQ,soriana hiper pilares,09480 cdmx,09480 cdmx,El Prado,Colonia,Iztapalapa,7,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-aragon/TKy4vw3vUvKORL9hR6ENcg,soriana hiper aragon,09698 cdmx,09698 cdmx,Miguel de La Madrid Hurtado,Colonia,Iztapalapa,7,Urbano
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-miramontes/kvCBgDo9Ux-e4H-11y60QA,soriana hiper miramontes,09897 cdmx,09897 cdmx,Carlos Jonguitud Barrios,Colonia,Iztapalapa,7,Urbano
