name,url,sucursal,sucursal_geo,lat,lng,address,geometry,index_right,cvegeo,cve_ent,cve_mun,nomgeo,cp
Chedraui 🛒,https://www.ubereats.com/store/chedraui-chedraui-mundo-e/8XwtMbZAVkC4kg-JAYwHUw,chedraui chedraui mundo e,chedraui chedraui mundo e cdmx,19.5252185,-99.2300509,"BOULEVARD M, Perif. Blvd. Manuel Ávila Camacho 1007, San Lucas Tepetlacalco, 54055 Tlalnepantla, Méx., Mexico",POINT (-99.2300509 19.5252185),56,15104,15,104,Tlalnepantla de Baz,02420 cdmx
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-lomas-verdes/sgFsGQQDXCq_sj60Ot6JpA,soriana hiper lomas verdes,soriana hiper lomas verdes cdmx,19.4957259,-99.2471405,"Colina de La Paz 25, Lomas Verdes, 53120 Naucalpan de Juárez, Méx., Mexico",POINT (-99.2471405 19.4957259),72,15057,15,57,Naucalpan de JuÃ¡rez,02440 cdmx
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-san-mateo/WzHgZ4J-UEyRd1BA7EdvWg,soriana hiper san mateo,soriana hiper san mateo cdmx,19.4824648,-99.1902513,"San Mateo, Ciudad de México, CDMX, Mexico",POINT (-99.1902513 19.4824648),0,9002,9,2,Azcapotzalco,02750 cdmx
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-mixcoac-revolucion/mvQBPhpTV2yZ1LaB8Xip-Q,soriana hiper mixcoac revolucion,soriana hiper mixcoac revolucion cdmx,19.3793076,-99.1867288,"Av. Revolución 780, San Juan, Benito Juárez, 03730 Ciudad de México, CDMX, Mexico",POINT (-99.1867288 19.3793076),12,9014,9,14,Benito Juárez,03940 cdmx
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-plaza-cantil/H63zGDRnXI6hH5fpKryh5A,soriana hiper plaza cantil,soriana hiper plaza cantil cdmx,19.3284999,-99.1536,"Av. Aztecas 270, Los Reyes, Coyoacán, 04380 Ciudad de México, CDMX, Mexico",POINT (-99.1536 19.3284999),1,9003,9,3,Coyoacán,04630 cdmx
Selecto Súper Chedraui 🛒,https://www.ubereats.com/store/selecto-super-chedraui-samara-santa-fe/gdYCQMrvWdOLhcVY4twXHQ,selecto super chedraui samara santa fe,selecto super chedraui samara santa fe cdmx,19.3684805,-99.2583277,"Plaza Samara, Av. Santa Fe 94, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01210 Ciudad de México, CDMX, Mexico",POINT (-99.2583277 19.3684805),8,9010,9,10,Álvaro Obregón,05119 cdmx
Chedraui 🛒,https://www.ubereats.com/store/chedraui-selecto-super-tecamachalco/aeouOz4vVuCzokhiJ1ELsg,chedraui selecto super tecamachalco,chedraui selecto super tecamachalco cdmx,19.4193192,-99.23699,"Tecamachalco, State of Mexico, Naucalpan de Juárez, State of Mexico, Mexico",POINT (-99.23698999999999 19.4193192),72,15057,15,57,Naucalpan de JuÃ¡rez,05129 cdmx
Chedraui 🛒,https://www.ubereats.com/store/chedraui-selecto-super-chedraui-interlomas-hill/GBjX46eUWH2VLyPQzbWHQQ,chedraui selecto super chedraui interlomas hill,chedraui selecto super chedraui interlomas hill cdmx,19.4018615,-99.2699843,"Blvrd. Interlomas S/N, Bosque de las Palmas, 52787 Naucalpan de Juárez, Méx., Mexico",POINT (-99.26998429999999 19.4018615),73,15037,15,37,Huixquilucan,05230 cdmx
La Comer 🛒,https://www.ubereats.com/store/la-comer-la-comer-lomas-anahuac/Uvqw3CVJUCWPEbpRuqmJ5Q,la comer la comer lomas anahuac,la comer la comer lomas anahuac cdmx,19.4040893,-99.2612356,"Lomas Anahuac, Naucalpan de Juárez, Méx., Mexico",POINT (-99.26123559999999 19.4040893),73,15037,15,37,Huixquilucan,05780 cdmx
Soriana Híper - 🛒,https://www.ubereats.com/store/soriana-hiper-perinorte/tGTD0ER_VMSMHSau0Ix7pQ,soriana hiper perinorte,soriana hiper perinorte cdmx,19.6020907,-99.192077,"Hda. de Sierra Vieja, Lote 1 Mz 32, Hacienda del Parque, 54769 Cuautitlán Izcalli, Méx., Mexico",POINT (-99.192077 19.6020907),47,15121,15,121,CuautitlÃ¡n Izcalli,07149 cdmx
